Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1680|6011284|240|TTGX995876|63|2026-01-31 14:41:02|
1680|5087442|240|EMHU264056|22|2026-01-23 11:10:08|
1680|5000912|240|UMXU236803|22|2026-01-14 12:06:02|
1680|5000912|240|UMXU247880|22|2026-01-14 12:06:02|
1669|5023109|430|MRKU2404068|3|2026-01-02 16:46:00|
1669|5007056|810|SEKU4476848|3|2026-01-08 12:07:01|
1680|5035180|800|70BB6F|68|2026-01-19 16:02:02|
1680|5000291|230|777|60|2026-01-07 13:58:03|
1680|5083929|240|UMXU238629|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU251074|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU235826|22|2026-01-19 09:16:02|
1680|5035180|800|511073|56|2026-01-19 16:02:02|
1680|5035180|800|51BB3H|68|2026-01-19 16:02:02|
1680|5083929|240|UMXU887004|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU637199|22|2026-01-19 09:16:02|
3129|5026337|240|15970MSM|56|2026-01-14 09:03:03|
1680|5001378|270|UMXU251404|63|2026-01-08 18:09:02|
1680|5035180|800|140|56|2026-01-19 16:02:02|
1680|5001377|270|UMXU251357|63|2026-01-08 18:09:01|
1680|5000912|240|UMXU252971|22|2026-01-14 12:06:02|
3129|6000603|240|52318|56|2026-01-21 12:03:03|
1680|5000912|240|UMXU258058|22|2026-01-14 12:06:02|
1680|5087442|240|UMXU896049|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234816|22|2026-01-23 11:10:08|
1680|5083929|240|MNLU234689|22|2026-01-19 09:16:02|
3129|6000613|240|W19907|56|2026-01-21 16:01:11|
1680|5000277|230|WRWK407162|63|2026-01-08 13:14:01|
1680|5018471|800|1961|60|2026-01-08 15:33:12|
1680|5087442|240|UMXU248641|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU246488|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU935297|22|2026-01-19 09:16:02|
1680|5000912|240|309|56|2026-01-14 12:06:02|
1680|5000932|240|E82406|56|2026-01-05 17:10:02|
1669|5023109|430|TCKU6870610|3|2026-01-02 16:46:00|
1680|5000912|240|UMXU265940|22|2026-01-14 12:06:02|
1680|5035188|800|704|56|2026-01-06 17:13:03|
1680|5035180|800|161497|56|2026-01-19 16:02:02|
1680|5000932|240|E81848|56|2026-01-05 17:10:02|
3129|5026337|240|4278|56|2026-01-14 09:03:03|
1680|5083929|240|UMXU932709|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234773|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU266253|22|2026-01-19 09:16:02|
1680|6011282|240|TM2440|60|2026-01-30 17:41:02|
1680|5083929|240|UMXU637004|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU254821|63|2026-01-08 18:09:02|
1680|5000422|230|673592|56|2026-01-05 16:21:02|
1680|5083929|240|UMXU931406|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU892792|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU936423|22|2026-01-19 09:16:02|
1669|5023109|430|CAAU9135095|3|2026-01-02 16:46:00|
1680|5000912|240|UMXU635081|22|2026-01-14 12:06:02|
1680|5000912|240|UMXU889160|22|2026-01-14 12:06:02|
1680|5000912|240|UMXU937392|22|2026-01-14 12:06:02|
1680|5000912|240|UMXU631763|22|2026-01-14 12:06:02|
1680|5035180|800|UMXU234965|22|2026-01-19 16:02:02|
1680|5083929|240|UMXU930229|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234569|22|2026-01-19 09:16:02|
3129|6000613|240|11401|56|2026-01-21 16:01:11|
1680|5083929|240|UMXU636019|22|2026-01-19 09:16:02|
1680|5035180|800|531217|56|2026-01-19 16:02:02|
1680|5035180|800|UMXU255375|22|2026-01-19 16:02:02|
1680|5083929|240|EMHU643680|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU897576|22|2026-01-19 09:16:02|
3129|6000603|240|5529|56|2026-01-21 12:03:03|
1680|5000932|240|E819167|56|2026-01-05 17:10:02|
1669|5023109|430|SELU4175306|3|2026-01-02 16:46:00|
1680|5000912|240|UMXU897238|22|2026-01-14 12:06:02|
1680|5000912|240|UMXU933020|22|2026-01-14 12:06:02|
3129|6000603|240|11446WLA|56|2026-01-21 12:03:03|
1680|5083929|240|UMXU935310|22|2026-01-19 09:16:02|
3129|6000603|240|146|56|2026-01-21 12:03:03|
1680|5000277|230|WRWK407013|63|2026-01-08 13:14:01|
1680|5087442|240|UMXU898252|22|2026-01-23 11:10:08|
3129|5026337|240|11514|56|2026-01-14 09:03:03|
3949|5001068|070|UMXU633683|22|2026-01-05 19:55:00|
1680|5083929|240|UMXU635050|22|2026-01-19 09:16:02|
1680|5035180|800|75169|56|2026-01-19 16:02:02|
1680|5035180|800|9531316|56|2026-01-19 16:02:02|
1680|6011253|240|TTGX709366|63|2026-01-20 18:30:09|
3129|5026337|240|537-61|56|2026-01-14 09:03:03|
1680|5083929|240|UMXU933153|22|2026-01-19 09:16:02|
3949|5005113|160|UETU3088173|1|2026-01-07 13:36:06|
1680|5000912|240|536024|56|2026-01-14 12:06:02|
1680|5000912|240|53863|56|2026-01-14 12:06:02|
1680|6011234|240|TTGX704815|63|2026-01-14 18:07:08|
1680|5000912|240|UMXU887256|22|2026-01-14 12:06:02|
3129|6000603|240|E82360|56|2026-01-21 12:03:03|
1680|5018471|800|1870|60|2026-01-08 15:33:12|
1680|5083929|240|UMXU247956|22|2026-01-19 09:16:02|
1680|5035180|800|71AM2L|68|2026-01-19 16:02:02|
1680|5035180|800|157|56|2026-01-19 16:02:02|
1680|5000291|230|333|60|2026-01-07 13:58:03|
1680|5000912|240|UMXU256416|22|2026-01-14 12:06:02|
1680|5035180|800|131|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU266062|22|2026-01-19 09:16:02|
3129|6000603|240|710740|56|2026-01-21 12:03:03|
3949|5005114|160|GAOU6885040|3|2026-01-08 09:55:01|
1669|5023108|430|SEKU4477274|3|2026-01-06 10:08:00|
1680|5000912|240|75169|56|2026-01-14 12:06:02|
