Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3949|6020001|670|73182291|450|3|0|17|2026-01-13 15:53:00|
3147|5005608|850|83023091|26|3|21|160|2026-01-20 14:03:06|
3147|6001012|650|83012002|341|6|0|9|2026-01-16 12:14:01|
1680|6024618|240|27101902|1|3|0|164164|2026-01-15 19:53:02|
1680|6024624|240|27101902|3|6|0|23362|2026-01-20 18:31:03|
1669|6900631|430|87088005|650|3|21|1849|2026-01-13 11:45:01|
1680|6011238|240|87032499|2|3|0|842888|2026-01-15 18:33:15|
1669|6900631|430|85122099|321|3|21|403|2026-01-13 11:45:01|
1680|6024627|240|27101902|1|6|0|23356|2026-01-22 16:26:04|
3147|5005570|850|87082999|59|6|6|47|2026-01-09 23:47:03|
3147|5038653|470|83023091|99|3|21|64|2026-01-29 22:06:01|
1680|5000827|240|84842001|198|3|21|391|2026-01-27 11:36:02|
3949|5060542|071|853710|7|3|21|113403|2026-01-10 12:39:01|
3949|6900421|160|72104999|4|3|0|909581|2026-01-23 12:03:01|
1669|6900631|430|87081099|413|6|6|112|2026-01-13 11:45:01|
1680|6024616|240|27101902|2|6|0|14839|2026-01-16 16:34:11|
3949|5104840|071|85131099|151|3|21|1559|2026-01-14 15:39:02|
3147|5005608|850|87085099|66|3|21|836|2026-01-20 14:03:06|
1680|6024614|240|27101902|1|6|0|26345|2026-01-15 18:49:04|
3147|6001012|650|87083011|190|6|0|7|2026-01-16 12:14:01|
3147|6001012|650|87084099|66|6|0|30|2026-01-16 12:14:01|
3949|6020001|670|85182999|1351|3|0|96|2026-01-13 15:53:00|
3147|6001012|650|90328999|263|3|0|33|2026-01-16 12:14:01|
1680|6024606|240|27101902|1|3|0|88179|2026-01-14 20:36:01|
3949|6000016|670|87089199|9|3|0|106|2026-01-22 11:38:01|
3147|5005570|850|87082999|101|6|6|121|2026-01-09 23:47:03|
1680|5000827|240|84212301|146|3|21|2450|2026-01-27 11:36:02|
1680|5031253|800|85261099|1|6|6|1194689|2026-01-28 12:58:02|
1669|6900631|430|85437099|370|3|21|1695|2026-01-13 11:45:01|
1680|6011261|240|87043299|3|3|0|115474|2026-01-22 18:35:10|
1669|6900631|430|87082999|461|6|6|34|2026-01-13 11:45:01|
3147|6001012|650|87082919|426|3|0|142|2026-01-16 12:14:01|
3949|6020001|670|85122099|1283|6|0|19|2026-01-13 15:53:00|
3147|5005608|850|85122002|34|3|21|311|2026-01-20 14:03:06|
1669|6900408|510|87032399|1|3|0|13112301|2026-01-19 13:28:02|
1680|6011241|240|87032499|2|3|0|269471|2026-01-16 18:26:13|
3147|6001012|650|87089199|467|6|0|7|2026-01-16 12:14:01|
3949|6020001|670|87083011|1785|6|0|19|2026-01-13 15:53:00|
1869|6000036|180|72104999|2|6|6|590006|2026-01-21 16:06:00|
1669|6900631|430|87082999|473|6|6|67|2026-01-13 11:45:01|
3949|6900421|160|72259201|6|3|0|100552|2026-01-23 12:03:01|
3147|5005570|850|40111010|85|3|21|1891|2026-01-09 23:47:03|
1680|6002513|800|85015305|1|3|0|5799|2026-01-30 12:51:00|
1680|5000866|240|90251901|694|3|21|376|2026-01-27 17:59:02|
3949|6020001|670|32141001|2|3|0|30021|2026-01-13 15:53:00|
1680|6011262|240|87032499|2|3|0|240115|2026-01-22 18:35:11|
1669|5003140|510|85291009|171|3|21|53|2026-01-13 17:37:00|
3147|6001012|650|85443099|295|3|0|154|2026-01-16 12:14:01|
3949|6020001|670|87081099|1570|3|0|5|2026-01-13 15:53:00|
3147|5005609|850|87089999|123|3|21|12|2026-01-20 14:43:15|
3147|6001012|650|87085099|222|6|0|393|2026-01-16 12:14:01|
3147|6001012|650|87083099|206|3|0|41|2026-01-16 12:14:01|
3147|5005609|850|87082999|87|3|21|50|2026-01-20 14:43:15|
1669|6900631|430|87082999|472|3|21|47|2026-01-13 11:45:01|
1680|6024624|240|27101902|1|3|0|14145|2026-01-20 18:31:03|
1669|6900631|430|84073304|173|3|21|6467|2026-01-13 11:45:01|
3147|5005609|850|87083011|93|6|6|17|2026-01-20 14:43:15|
1669|6900631|430|87081099|402|6|6|1365|2026-01-13 11:45:01|
1680|5000866|240|84099105|186|6|6|78|2026-01-27 17:59:02|
1680|5000827|240|84099199|122|3|21|42|2026-01-27 11:36:02|
3949|6020001|670|73202005|477|3|0|34|2026-01-13 15:53:00|
3147|6001295|470|39199099|2|3|0|202|2026-01-21 11:53:01|
3949|6020001|670|39235001|36|6|0|299|2026-01-13 15:53:00|
3147|6001012|650|85241101|319|3|0|127|2026-01-16 12:14:01|
1669|6900631|430|87082904|448|3|21|115|2026-01-13 11:45:01|
3147|5005609|850|87082201|63|6|6|268|2026-01-20 14:43:15|
3147|6001012|650|87082999|269|3|0|13|2026-01-16 12:14:01|
3147|6001012|650|87083099|185|3|0|3|2026-01-16 12:14:01|
1680|6000841|800|84814099|6|3|0|2547|2026-01-16 16:47:01|
3949|6020001|670|87083099|1819|3|0|685|2026-01-13 15:53:00|
3147|6001012|650|84818022|416|3|0|47|2026-01-16 12:14:01|
3949|6020001|670|84821099|1026|3|0|75|2026-01-13 15:53:00|
3949|6000017|670|84213999|16|3|0|733|2026-01-22 11:38:02|
3949|5104841|071|84828091|44|3|21|1689|2026-01-09 13:40:01|
1733|6002732|640|73182403|13|6|0|113|2026-01-28 17:50:03|
1680|5000866|240|87082999|533|6|6|53480|2026-01-27 17:59:02|
1669|6900631|430|87081099|422|6|6|797|2026-01-13 11:45:01|
3949|6000017|670|73261999|4|3|0|0|2026-01-22 11:38:02|
3949|6020001|670|84818021|962|3|0|322|2026-01-13 15:53:00|
1680|6002479|800|76061299|1|3|0|353727|2026-01-16 15:12:01|
3949|6020001|670|87088011|2043|3|0|72|2026-01-13 15:53:00|
3147|5005609|850|87082907|75|3|21|1618|2026-01-20 14:43:15|
3147|6001012|650|40169999|447|3|0|2|2026-01-16 12:14:01|
3147|6001012|650|84879099|45|3|0|10|2026-01-16 12:14:01|
3147|5005609|850|87083099|95|3|21|8|2026-01-20 14:43:15|
1669|6900631|430|87081099|420|6|6|68|2026-01-13 11:45:01|
3147|6001012|650|87084099|83|6|0|5|2026-01-16 12:14:01|
3949|6020001|670|39263002|72|6|0|23|2026-01-13 15:53:00|
