Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1680|6011240|240|||FURGON|MEX|SFLC307307|2026-01-15 18:33:18|
1733|5033996|640|||FEDEX|MEX|FEDEX|2026-01-07 19:06:01|
1680|6024619|240|||CAJA|MEX|53132|2026-01-15 19:52:02|
1680|6011257|240|||FURGON|MEX|BNSF301986|2026-01-21 18:27:08|
1680|6011285|240|||FURGON|MEX|TTGX704531|2026-01-31 14:41:02|
1669|6900409|510|||GLOVIS TRINITY|LBR|GLOVISTRINITY|2026-01-16 11:13:01|
1669|6900631|430|||GSL MARIA|LBR|1851/2025|2026-01-13 11:45:01|
1680|6011221|240|||NODRIZA|MEX|TM2111|2026-01-03 13:19:02|
1680|6024637|240|||CAJA|MEX|90|2026-01-26 18:30:02|
1669|6000815|510|||HELIOS RAY|BHS|HELIOSRAY|2026-01-31 11:06:01|
1680|6011223|240|||FURGON|MEX|BNSF303112|2026-01-09 19:07:05|
1680|6011264|240|||NODRIZA|MEX|TM2534|2026-01-23 16:59:04|
1680|6011235|240|||FURGON|MEX|TTGX985691|2026-01-14 18:07:09|
1680|6024623|240|||CAJA|MEX|S404|2026-01-20 10:51:07|
1680|6024643|240|||CAJA|MEX|550854|2026-01-28 12:38:02|
1680|6024607|240|||CAJA|MEX|67|2026-01-14 13:46:04|
1680|6024602|240|||CAJA|MEX|H14456|2026-01-14 12:45:03|
1869|6000030|180|||SUNNYHOPE|PAN|SUNNYHOPE|2026-01-30 11:04:00|
1680|6011242|240|||FURGON|MEX|TTGX975476|2026-01-16 18:26:14|
1869|6000029|180|||SUNNYHOPE|PAN|SUNNYHOPE|2026-01-12 13:04:01|
3147|5009246|521|||FEDEX|USA|FEDEX|2026-01-08 18:30:01|
1669|6004061|430|||GRANDE COSTA DAVORIO|ITA|0154/2026|2026-01-30 16:55:04|
1680|6011243|240|||FURGON|MEX|TTGX975782|2026-01-16 18:26:15|
1669|6900410|510|||GLOVIS TRINITY|LBR|GLOVISTRINITY|2026-01-15 15:58:03|
1680|6024633|240|||CAJA|MEX|26|2026-01-23 18:49:01|
3949|6032961|160|||CMA CGM CHILE|SGP|CMACGMCHILE|2026-01-21 17:33:06|
3575|5000112|110|||SEASPANZAMBEZI|SGP|SEASPANZAMBEZI|2026-01-02 18:15:01|
1869|6000036|180|||DEJIMACONFIDENCE|PRT|DEJIMACONFIDENCE|2026-01-21 16:06:00|
1680|6011253|240|||FURGON|MEX|TTGX709366|2026-01-20 18:30:09|
1669|5023762|430|||HOEGH MANILA|NOR|S/R|2026-01-08 17:54:00|
1680|6011268|240|||NODRIZA|MEX|TM2521|2026-01-23 16:59:09|
1680|6024615|240|||CAJA|MEX|85|2026-01-15 19:51:04|
1680|6024608|240|||CAJA|MEX|AX112|2026-01-14 18:42:03|
1680|6011266|240|||NODRIZA|MEX|TM2519|2026-01-23 16:59:07|
1680|6011225|240|||FURGON|MEX|TTGX952541|2026-01-09 19:07:07|
1669|5022896|430|||MSC TOMOKO|PAN|1822/2025|2026-01-08 18:10:01|
1680|6024631|240|||CAJA|MEX|1026|2026-01-23 18:47:02|
1669|5007056|810|||MAERSK CHAMBAL|HKG|S/N|2026-01-08 12:07:01|
3147|5009553|521|||DHL|USA|DHL|2026-01-08 19:13:02|
1680|6011286|240|||FURGON|MEX|TTGX696087|2026-01-31 14:41:03|
3147|5023952|650|||FEDEX|USA|FEDEX|2026-01-08 14:52:01|
1680|6011226|240|||FURGON|MEX|TTGX991035|2026-01-09 19:07:08|
1680|6024628|240|||CAJA|MEX|S322|2026-01-21 14:03:02|
1680|6024150|240|||CAJA|MEX|753|2026-01-15 15:45:11|
1680|6024642|240|||CAJA|MEX|43|2026-01-28 12:37:02|
1669|5003140|510|||MSC MARIA CLARA|LBR|MSCMARIACLARA|2026-01-13 17:37:00|
1680|6011271|240|||FURGON|MEX|TTGX975700|2026-01-23 18:46:04|
1669|6900345|430|||GRANDE CAMEROON|ITA|0005/2026|2026-01-03 11:03:02|
1680|6024610|240|||CAJA|MEX|53136|2026-01-14 17:57:02|
1669|6003628|430|||GRANDE TEMA|ITA|0095/2026|2026-01-21 13:11:03|
1680|6011246|240|||FURGON|MEX|TTGX967048|2026-01-16 18:26:17|
1680|6024606|240|||CAJA|MEX|RHR888|2026-01-14 20:36:01|
1669|5007004|810|||ADAMS|LBR|S/N|2026-01-08 12:23:03|
1680|6011237|240|||FURGON|MEX|BNSF301611|2026-01-15 18:33:13|
1680|6011281|240|||NODRIZA|MEX|TM2465|2026-01-30 17:42:04|
3575|5000112|110|||SEASPANTHAMES|SGP|SEASPANTHAMES|2026-01-02 18:15:01|
3575|5000112|110|||POSORJAEXPRESS|BHS|POSORJAEXPRESS|2026-01-02 18:15:01|
1669|5023762|430|||POLARIS LEADER|SGP|S/R|2026-01-08 17:54:00|
3147|5023953|650|||FEDEX|USA|FEDEX|2026-01-08 16:14:00|
1680|6024621|240|||CAJA|MEX|559913|2026-01-19 12:53:03|
1680|6024632|240|||CAJA|MEX|W88046|2026-01-23 18:48:02|
1680|6011282|240|||NODRIZA|MEX|TM2440|2026-01-30 17:41:02|
1680|6011256|240|||NODRIZA|MEX|TM2424|2026-01-21 14:40:03|
1680|6011278|240|||FURGON|MEX|CTTX692282|2026-01-30 18:41:06|
1680|6024609|240|||CAJA|MEX|S411|2026-01-14 14:57:04|
1680|6024639|240|||CAJA|MEX|122|2026-01-28 12:35:08|
1680|6024618|240|||CAJA|MEX|53339|2026-01-15 19:53:02|
1669|5003140|510|||MSC SAMANTHA VI|PAN|MSCSAMANTHAVI|2026-01-13 17:37:00|
1680|6024604|240|||CAJA|MEX|RHR898|2026-01-20 11:04:07|
