Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1680|5005483|230|2025-12-18|COVE257VPG1V6|FOB|USD|216581.63|216581.63|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060520|070|2025-12-07|COVE257V39PY2|FOB|USD|190610.16|190610.16|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 18:23:00|
1680|5005480|230|2025-12-01|COVE257UPD9M7|FCA|USD|37723.28|37723.28|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 19:04:02|
1680|5005481|230|2025-12-14|COVE257VHD4B8|FOB|USD|1.00|1.00|MEX| |380549190|FORD LIVONIA TRANSMISSION PLANT|36200 PLYMOUTH RD||S/N|481501442|LIVONIA|2026-01-06 13:16:01|
3949|5060523|071|2025-12-13|COVE257VGV4U3|FOB|USD|1.00|1.00|MEX| |27-0951460|METALDYNE SINTERED COMPONENTS INC|3100 N STATE HIGHWAY 3||S/N|472657289|NORTH VERNON|2026-01-08 12:49:05|
3949|5060535|070|2025-12-24|COVE257W0ACA5|FCA|USD|307167.98|307167.98|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1680|5005482|230|2025-12-15|COVE257VHVD02|FOB|USD|193879.26|193879.26|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-08|COVE257V3DF83|FOB|USD|250787.04|250787.04|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5003053|672|2025-12-09|COVE257V7H8Z6|FCA|USD|1.00|1.00|MEX| |38-0549190|FORD LOUISVILLE ASSEMBLY|2000 FERN VALLEY RD||S/N|402133502|LOUISVILLE|2026-01-08 12:27:00|
1669|5000227|810|2025-12-08|COVE257V4AUQ4|FCA|USD|78003.20|78003.20|BRA| |84683374000300|TUPY SA|RUA ALBANO SCHMIDT  3400||S/N|89227-901|JOINVILLE|2026-01-08 15:41:02|
1680|5070742|240|2025-12-16|COVE257VM6FH7|FOB|USD|422283.45|422283.45|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 17:17:04|
1733|5000320|640|2025-12-09|COVE257V7TX07|FCA|USD|10141.55|10141.55|USA| |27-079145400|APTIV SERVICES US LLC|48 WALTER JONES||S/N|799065301|EL PASO|2026-01-08 14:31:02|
1680|5005482|230|2025-12-16|COVE257VK9F17|FOB|USD|189143.13|189143.13|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5004809|160|2025-12-15|COVE257VHQIF7|FCA|EUR|2373.86|2046.08|BEL| |BE0469459412|FACIL EUROPE BVBA|GELEENLAAN 20||S/N|3600|GENK|2026-01-08 12:55:04|
1680|5005476|230|2025-12-16|COVE257VJQQX2|FCA|USD|237262.83|237262.83|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
3949|5003053|672|2025-12-02|COVE257UTISX8|FCA|USD|1.00|1.00|MEX| |38-0549190|FORD LOUISVILLE ASSEMBLY|2000 FERN VALLEY RD||S/N|402133502|LOUISVILLE|2026-01-08 12:27:00|
1680|5005483|230|2025-12-20|COVE257VUBUF5|FOB|USD|212930.89|212930.89|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060546|071|2025-12-18|COVE257VRD2S1|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
3949|5060535|070|2025-12-11|COVE257VDNLT4|FCA|USD|277430.02|277430.02|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
3949|5060538|071|2025-12-26|COVE257W2DPE6|FCA|USD|512464.74|512464.74|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
1680|5005482|230|2025-12-18|COVE257VPT8Z4|FOB|USD|193883.96|193883.96|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060535|070|2025-12-19|COVE257VTP8N1|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1680|5070744|240|2025-12-12|COVE257VFCB38|FCA|USD|49136.36|49136.36|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-07 15:04:04|
1680|5005483|230|2025-12-08|COVE257V3DF43|FOB|USD|255523.17|255523.17|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1669|5000227|810|2025-11-28|COVE257UMQMZ8|FCA|USD|78448.00|78448.00|BRA| |84683374000300|TUPY SA|RUA ALBANO SCHMIDT  3400||S/N|89227-901|JOINVILLE|2026-01-08 15:41:02|
1680|5005482|230|2025-12-03|COVE257UUS775|FOB|USD|170436.80|170436.80|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060533|071|2025-12-02|COVE257US5GU5|FOB|USD|1.00|1.00|MEX| |04-3590499|IFA ROTORION NORTH AMERICA LLC|479 TRADE CENTER PARKWAY||S/N|294837432|SUMMERVILLE|2026-01-08 14:45:01|
1680|5005483|230|2025-12-02|COVE257URR1U7|FOB|USD|213661.35|213661.35|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5004809|160|2025-12-15|COVE257VHQG43|FCA|EUR|4547.98|3920.00|DEU| |DE341447066|AUMOVIO GERMANY GMBH|ALFRED-TEVES STRASSE||11|38518|GIFHORN|2026-01-08 12:55:04|
3949|5004809|160|2025-12-15|COVE257VHQGC8|FCA|EUR|18145.53|15640.00|DEU| |DE341447066|AUMOVIO GERMANY GMBH|ALFRED-TEVES STRASSE||11|38518|GIFHORN|2026-01-08 12:55:04|
3949|5060521|070|2025-12-06|COVE257V2KQ14|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-07 14:11:01|
1669|5000223|810|2025-11-28|COVE257UMNRQ7|FCA|EUR|11589.56|9989.28|FRA| |37-1796710|CAILLAU SAS|1 AVENUE GUSTAVE EIFFEL||S/N|41200|ROMORANTIN-LANTHENAY|2026-01-08 15:11:01|
1680|5005483|230|2025-12-19|COVE257VRZDT4|FOB|USD|251731.82|251731.82|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-08|COVE257V3IIA1|FOB|USD|128860.26|128860.26|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060522|071|2025-12-13|COVE257VGX1A5|FOB|USD|190610.16|190610.16|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005525|230|2025-12-22|COVE257VWUUJ3|FCA|USD|27530.92|27530.92|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
1680|5005476|230|2025-12-16|COVE257VJQOX1|FCA|USD|356950.11|356950.11|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
1680|5005483|230|2025-12-07|COVE257V35MM6|FOB|USD|216961.95|216961.95|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-09|COVE257V6N8C6|FOB|USD|131103.62|131103.62|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005481|230|2025-12-17|COVE257VO66C4|FOB|USD|1.00|1.00|MEX| |31-0928132|AMANDA MANUFACTURING|1120 CIC DR - PO BOX 1027||S/N|431384027|LOGAN|2026-01-06 13:16:01|
3949|5060540|071|2025-12-20|COVE257VUTIG8|FCA|USD|269640.82|269640.82|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-09 16:59:03|
1680|5005485|230|2025-12-01|COVE257UQKGT4|FOB|USD|1.00|1.00|MEX| |27-3800872|CARLEX GLASS AMERICA  LLC|77 EXCELLENCE WAY/PO BOX 370||S/N|378852123|VONORE|2026-01-06 13:18:03|
3949|5060546|071|2025-12-17|COVE257VO8X11|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
3949|5060522|071|2025-12-18|COVE257VP6868|FOB|USD|202011.37|202011.37|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005482|230|2025-12-16|COVE257VK9FJ4|FOB|USD|136324.40|136324.40|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060535|070|2025-12-24|COVE257W0A328|FCA|USD|216057.49|216057.49|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1669|5000227|810|2025-12-01|COVE257UQT711|FCA|USD|78448.00|78448.00|BRA| |84683374000300|TUPY SA|RUA ALBANO SCHMIDT  3400||S/N|89227-901|JOINVILLE|2026-01-08 15:41:02|
1669|5000228|810|2025-11-28|COVE257UMRI74|FCA|EUR|5709.27|4920.93|PRT| |PT502094486|GESTAMP AVEIRO - INDUSTRIA DE ACCES|RUA DA INDUSTRIA||S/N|3701-905|NOGUEIRA DO CRAVO|2026-01-08 15:41:00|
1680|5005481|230|2025-12-11|COVE257VDF6T8|FOB|USD|1.00|1.00|MEX| |31-0928132|AMANDA MANUFACTURING|1120 CIC DR - PO BOX 1027||S/N|431384027|LOGAN|2026-01-06 13:16:01|
3949|5060523|071|2025-12-02|COVE257UTR7P5|FOB|USD|1.00|1.00|MEX| |27-0951460|METALDYNE SINTERED COMPONENTS INC|3100 N STATE HIGHWAY 3||S/N|472657289|NORTH VERNON|2026-01-08 12:49:05|
1680|5005483|230|2025-12-13|COVE257VGU982|FOB|USD|217367.76|217367.76|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005485|230|2025-12-05|COVE257V0P852|FOB|USD|1.00|1.00|MEX| |27-3800872|CARLEX GLASS AMERICA  LLC|77 EXCELLENCE WAY/PO BOX 370||S/N|378852123|VONORE|2026-01-06 13:18:03|
3949|5060522|071|2025-12-11|COVE257VBN818|FOB|USD|190610.16|190610.16|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005483|230|2025-12-05|COVE257UZNBK1|FOB|USD|211769.51|211769.51|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005483|230|2025-12-11|COVE257VBJPQ7|FOB|USD|216909.83|216909.83|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-16|COVE257VK9FV5|FOB|USD|148047.19|148047.19|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1669|5000225|810|2025-12-18|COVE257VPDZW4|FCA|STG|3541.71|2674.00|GBR| |GB359889416|REMSONS AUTOMOTIVE LIMITED|BALDWIN ROAD||S/N|DY13 9BB|WORCESTERSHIR|2026-01-08 15:37:00|
1680|5005483|230|2025-12-21|COVE257VV0SW5|FOB|USD|259362.44|259362.44|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5004812|160|2025-12-23|COVE257VY7G97|FCA|CNY|136138.87|963133.17|CHN| |91350900587527783|CONTEMPORARY AMPEREX TECHNOLOGY CO|NO. 1 INDUSTRY AVENUE||S/N|644005|YIBIN CITY SICHUAN PROVINCE|2026-01-08 16:50:09|
1669|5000233|810|2025-12-18|COVE257VQ3O53|FOB|USD|179836.16|179836.16|MEX| |ESB46066361|FORD ESPANA SL-VALENCIA ASSEMBLY PL|POLIGONO INDUSTRIAL||S/N|46440|ALMUSSAFES|2026-01-05 15:55:01|
1680|5005482|230|2025-12-01|COVE257UP1YC5|FOB|USD|125522.46|125522.46|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5004809|160|2025-12-08|COVE257V4WEK7|FCA|EUR|42268.41|36432.00|DEU| |DE341447066|AUMOVIO GERMANY GMBH|ALFRED-TEVES STRASSE||11|38518|GIFHORN|2026-01-08 12:55:04|
1680|5005485|230|2025-12-06|COVE257V31W14|FOB|USD|1.00|1.00|MEX| |38-0549190|FORD DEARBORN ENGINE|3001 MILLER RD||S/N|481201458|DEARBORN|2026-01-06 13:18:03|
3949|5060521|070|2025-12-10|COVE257V95246|FOB|USD|1.00|1.00|MEX| |896543659RT0013|UNIMOTION GEAR INC|245 EDWARD ST||S/N|L4G 3M7|AURORA|2026-01-07 14:11:01|
1680|5005481|230|2025-12-03|COVE257UW9TV6|FOB|USD|1.00|1.00|MEX| |38-1905349|CREATIVE FOAM CORP|300 N ALLOY DR||S/N|484302648|FENTON|2026-01-06 13:16:01|
3949|5060547|071|2025-12-01|COVE257UPT2R3|FCA|USD|10.00|10.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 19:55:02|
3949|5060522|071|2025-12-18|COVE257VQ6RO8|FOB|USD|197046.18|197046.18|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
3949|5060522|071|2025-12-03|COVE257UVD9A4|FOB|USD|184730.80|184730.80|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
3949|5060538|071|2025-12-04|COVE257UYEVM7|FCA|USD|107538.05|107538.05|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
1680|5005483|230|2025-12-21|COVE257VV0T58|FOB|USD|221456.43|221456.43|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1669|5000233|810|2025-12-24|COVE257W0NV08|FOB|USD|201339.82|201339.82|MEX| |ESB46066361|FORD ESPANA SL-VALENCIA ASSEMBLY PL|POLIGONO INDUSTRIAL||S/N|46440|ALMUSSAFES|2026-01-05 15:55:01|
1680|5005485|230|2025-12-01|COVE257UQH0E7|FOB|USD|1.00|1.00|MEX| |23-1315454|EAST PENN MANUFACTURING COMPANY INC|102 DEKA ROAD||S/N|19536|LYON STATION|2026-01-06 13:18:03|
1669|5000220|810|2025-12-02|COVE257URW7R6|FCA|USD|49377.26|49377.26|BRA| |6047688400018|MAHLE METAL LEVE GMBH|RODOVIA SP340 KM 176.5||S/N|13846-901|MOGI GUACU|2026-01-08 15:19:05|
1680|5005483|230|2025-12-12|COVE257VEF0R6|FOB|USD|252784.67|252784.67|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5004809|160|2025-12-15|COVE257VHQG73|FCA|EUR|139321.19|120083.77|DEU| |DE811168771|PIERBURG PUMP TECHNOLOGY GMBH|SONNENSTRASSE 29||S/N|04746|HARTHA|2026-01-08 12:55:04|
1669|5000233|810|2025-12-24|COVE257W0O473|FOB|USD|179836.16|179836.16|MEX| |ESB46066361|FORD ESPANA SL-VALENCIA ASSEMBLY PL|POLIGONO INDUSTRIAL||S/N|46440|ALMUSSAFES|2026-01-05 15:55:01|
1680|5005483|230|2025-12-03|COVE257UUCDR1|FOB|USD|251839.89|251839.89|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5004809|160|2025-12-23|COVE257VXVTC5|FCA|CNY|14653.14|103665.66|CHN| |91320509MA1MF794X|FUBA AUTOMOTIVE ELECTRONICS (SUZHOU|NO. 859 PANGJIN ROAD||S/N|215200|SUZHOU|2026-01-08 12:55:04|
1680|5005481|230|2025-12-14|COVE257VHJ3P1|FOB|USD|1.00|1.00|MEX| |853347814|SHILOH INDUSTRIES|9000 E MICHIGAN AVE||S/N|490539772|GALESBURG|2026-01-06 13:16:01|
1669|5000222|810|2025-12-18|COVE257VPFDN3|FCA|EUR|6088.73|5248.00|CZE| |CZ62024922|CONTINENTAL AUTOMOTIVE CZECH REPUBL|HRADECKA 1092||S/N|506 01|JICIN|2026-01-08 15:44:00|
3949|5060538|071|2025-12-23|COVE257W00JV2|FCA|USD|43745.43|43745.43|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
3949|5060539|071|2025-12-14|COVE257VH8OP4|FCA|USD|188490.20|188490.20|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-09 16:59:04|
1680|5005483|230|2025-12-14|COVE257VHEAX4|FOB|USD|214978.05|214978.05|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060523|071|2025-12-19|COVE257VU15H4|FOB|USD|1.00|1.00|MEX| |38-0549190|FORD OHIO TRUCK|799 ABBE RD||S/N|440541807|SHEFFIELD VILLAGE|2026-01-08 12:49:05|
1680|5005482|230|2025-12-24|COVE257W0GRM1|FOB|USD|147783.13|147783.13|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060546|071|2025-11-29|COVE257UOHFN7|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
3949|5060523|071|2025-11-28|COVE257UMD3Y8|FOB|USD|1.00|1.00|MEX| |380549190|FORD DETROIT PDC HIGH CUBE CENTER|25640 PENNSYLVANIA RD.||S/N|481749603|ROMULUS|2026-01-08 12:49:05|
1680|5005483|230|2025-12-17|COVE257VMMP61|FOB|USD|255835.15|255835.15|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1669|5000228|810|2025-12-05|COVE257V1QPQ3|FCA|EUR|1871.76|1613.30|ESP| |ESB59938597|DAFE S.L.|C/. SANT JOSEP 108-110||S/N|08980|SANT FELIU D ELLOBREGAT|2026-01-08 15:41:00|
1680|5005482|230|2025-12-09|COVE257V6N7G7|FOB|USD|145941.49|145941.49|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-05|COVE257UZNAJ1|FOB|USD|213013.26|213013.26|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005525|230|2025-12-17|COVE257VOMTA8|FCA|USD|75375.76|75375.76|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
3949|5060522|071|2025-12-18|COVE257VQ8D01|FOB|USD|199005.97|199005.97|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005483|230|2025-12-16|COVE257VK1WS6|FOB|USD|251995.88|251995.88|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-11-29|COVE257UOLAM1|FOB|USD|214267.98|214267.98|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1669|5000227|810|2025-12-01|COVE257UQT7F5|FCA|USD|78448.00|78448.00|BRA| |84683374000300|TUPY SA|RUA ALBANO SCHMIDT  3400||S/N|89227-901|JOINVILLE|2026-01-08 15:41:02|
1680|5005481|230|2025-12-10|COVE257V8UQS7|FOB|USD|1.00|1.00|MEX| |20-8608744|VENTRA SANDUSKY LLC|3020 TIFFIN AVE||S/N|448705352|SANDUSKY|2026-01-06 13:16:01|
1680|5005481|230|2025-12-10|COVE257VAPGS1|FOB|USD|1.00|1.00|MEX| |380549190|FORD LIVONIA TRANSMISSION PLANT|36200 PLYMOUTH RD||S/N|481501442|LIVONIA|2026-01-06 13:16:01|
1680|5005481|230|2025-12-17|COVE257VOR1R8|FOB|USD|1.00|1.00|MEX| |81-0653353|TD AUTOMOTIVE COMPRESSOR GEORGIA  L|126 BONNIE VALENTINE WAY||S/N|30567|PENDERGRASS|2026-01-06 13:16:01|
3949|5060523|071|2025-12-09|COVE257V89II6|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
3949|5060546|071|2025-12-04|COVE257UWS2V2|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
3949|5060535|070|2025-12-26|COVE257W2IPM2|FCA|USD|82515.59|82515.59|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1680|5005485|230|2025-12-12|COVE257VFRJK2|FOB|USD|1.00|1.00|MEX| |46-3221181|US FARATHANE|820 W HOWARD LANE||S/N|787539708|AUSTIN|2026-01-06 13:18:03|
1680|5005481|230|2025-12-10|COVE257V8URJ4|FOB|USD|1.00|1.00|MEX| |621300918|COSMA INT'L AM (EAGLEBEND)|1000 JD YARNELL INDUSTRIAL PKWY||S/N|377164035|CLINTON|2026-01-06 13:16:01|
3949|5060539|071|2025-12-14|COVE257VHBSU4|FCA|USD|187722.90|187722.90|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-09 16:59:04|
3949|5060535|070|2025-12-16|COVE257VK3UK4|FCA|USD|189578.05|189578.05|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1680|5005483|230|2025-12-23|COVE257VXG413|FOB|USD|217204.93|217204.93|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060522|071|2025-12-04|COVE257UXK9F8|FOB|USD|203317.51|203317.51|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005483|230|2025-12-11|COVE257VBJPM3|FOB|USD|214936.59|214936.59|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005483|230|2025-12-17|COVE257VMMQ03|FOB|USD|259470.51|259470.51|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1669|5000228|810|2025-11-28|COVE257UMRAX3|FCA|EUR|81700.69|70419.49|ESP| |ESA60621166|GESTAMP|POL.IND.REY JUAN CARLOS I||S/N|46440|ALMUSSAFES|2026-01-08 15:41:00|
1680|5005482|230|2025-12-11|COVE257VC0XN5|FOB|USD|133311.39|133311.39|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005481|230|2025-12-19|COVE257VSR936|FOB|USD|1.00|1.00|MEX| |380549190|FORD T & C VAN DYKE|41111 VAN DYKE||S/N|483143674|STERLING HEIGHTS|2026-01-06 13:16:01|
3949|5060523|071|2025-12-04|COVE257UWZNV7|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|5005481|230|2025-11-29|COVE257UOT455|FOB|USD|1.00|1.00|MEX| |52-1162115|AUTONEUM NORTH AMERICA  INC|100 RIVER RIDGE PARKWAY||S/N|471307762|JEFFERSONVILLE|2026-01-06 13:16:01|
1680|5005482|230|2025-12-11|COVE257VBZTJ6|FOB|USD|190984.77|190984.77|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-18|COVE257VPHJJ3|FOB|USD|224814.92|224814.92|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6002461|800||COVE247320CP5|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-14 13:26:01|
1680|5005481|230|2025-12-02|COVE257UTD4T8|FOB|USD|1.00|1.00|MEX| |380549190|FORD LIVONIA TRANSMISSION PLANT|36200 PLYMOUTH RD||S/N|481501442|LIVONIA|2026-01-06 13:16:01|
1680|5005481|230|2025-12-04|COVE257UYX931|FOB|USD|1.00|1.00|MEX| |38-0549190|FORD DEARBORN ENGINE|3001 MILLER RD||S/N|481201458|DEARBORN|2026-01-06 13:16:01|
3949|5060522|071|2025-12-04|COVE257UX0TI8|FOB|USD|184730.80|184730.80|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
