Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1680|6002458|800||COVE257A8KWI8|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:03|
1680|5070742|240|2025-12-05|COVE257UZIGC4|FOB|USD|424723.50|424723.50|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 17:17:04|
3147|6001761|470||COVE267XFRPQ3|FCA| ||| | |91330201567003931|NINGBO PREH JOYSON AUTOMOTIVE ELECTRONICS CO LTD||||||2026-01-30 17:29:02|
1680|6011279|240||COVE267XP45I1|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-30 18:41:07|
1680|5005483|230|2025-12-24|COVE257W0CXA8|FOB|USD|206641.26|206641.26|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1669|6001582|810||COVE267WKX0H6|DAP| ||| | |DE353688211|METDRA KLOZ GMBH||||||2026-01-17 11:01:00|
3147|6001397|470||COVE267XDAX18|FCA| ||| | |DE126451998|PASS GMBH & CO KG||||||2026-01-23 18:30:02|
1680|6002500|800||COVE257VJ4J26|DAP| ||| | |260206522|AM/NS CALVERT LLC||||||2026-01-26 15:35:03|
1680|5005482|230|2025-12-02|COVE257US5W62|FOB|USD|193287.99|193287.99|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-18|COVE257VPG1B6|FOB|USD|257329.75|257329.75|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060521|070|2025-12-07|COVE257V3A4H1|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-07 14:11:01|
1680|6002463|800||COVE2475EY7R2|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-14 13:26:02|
1680|5005483|230|2025-12-09|COVE257V64KD8|FOB|USD|218770.18|218770.18|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005478|230|2025-12-19|COVE257VTTT48|FCA|USD|165135.82|165135.82|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-07 12:19:01|
3147|6001012|650||COVE257U4CT31|FCA| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-16 12:14:01|
