Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3147|5005611|850|87083099|83|99|TUBERIA DE FRENOS|398.50000|797|797|44.42|2.000|6|2.00000|6||1|1||||MEX|USA| | | | |1|F2|2026-01-27 23:24:03|
1680|6002495|800|84811001|5|00|VALVULA REDUCTORA DE PRESION DE DIAFRAGMA|26360.25000|116190|105441|6041.76|4.000|6|10.88800|1||0|1||||USA|USA| | | | |1|F3|2026-01-23 15:46:03|
3147|6001012|650|85443099|236|01|ARNES ELECTRICO DE USO AUTOMOTRIZ|232.00000|256|232|13.00|1.000|6|0.38000|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
1669|6900631|430|85122099|323|00|FARO|1872.02632|88168|71137|3968.65|38.000|6|125.60643|1||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
3949|5104883|071|85366999|2|99|PUERTO DE USB|18.00000|273|270|15.00|15.000|6|0.75000|1||0|1||||KOR|USA| | | | |1|F2|2026-01-09 10:46:01|
1669|6900631|430|40093205|48|01|TUBO - EMBRAGUE|232.45455|3169|2557|142.64|11.000|6|10.86664|1||1|1||||FRA|GBR| | | | |1|F2|2026-01-13 11:45:01|
3147|6001012|650|87087099|87|03|RINES|5933.00000|39227|35598|1998.00|6.000|6|6.00000|6||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
1680|5031259|800|85076001|1|00|BATERIAS DE LITIO|132064.36563|84521194|84521194|4606888.08|640.000|6|385920.00000|1||0|1||||CHN|CHN| | | | |1|V1|2026-01-15 12:06:03|
3949|6020001|670|40093106|142|02|TUBO FLEXIBLE,|127.00000|137|127|7.06|1.000|6|0.27216|1||1|1||||CAN|GBR| | | | |1|F3|2026-01-13 15:53:00|
3147|5005617|850|87082999|19|99|PANEL TAPIZADO PARA MALETERO|168.36364|1873|1852|103.18|11.000|6|11.00000|6||0|1||||USA|USA| | | | |1|F2|2026-01-08 16:53:05|
3949|5104840|071|84799018|116|99|PUNTA DISPENSADORA DE ADHESIVO|909.50000|1839|1819|101.20|2.000|6|0.45300|1||0|1||LOCTITE||USA|USA| | | | |1|F2|2026-01-14 15:39:02|
3147|6001012|650|85365099|119|08|INTERRUPTOR DE USO AUTOMOTRIZ|89.00000|98|89|5.00|1.000|6|0.04100|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|87083011|202|00|MANGUERA PARA FRENOS|125.00000|138|125|7.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005611|850|73181606|19|04|TUERCA|111.00000|111|111|6.17|1.000|6|1.00000|1||1|1||||USA|USA| | | | |1|F2|2026-01-27 23:24:03|
3147|6001012|650|85371099|118|99|UNIDAD DE CONTROL|356.00000|392|356|20.00|1.000|6|0.46000|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|39263002|90|01|MOLDURA|178.16667|1178|1069|60.00|6.000|6|7.20000|1||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|6000016|670|87089199|9|00|ENFRIADOR EGR 2.5|599.00000|660|599|34.01|1.000|6|1.00000|6||1|6||||USA|USA| | | | |1|F3|2026-01-22 11:38:01|
3147|6001012|650|85443099|234|01|ARNES ELECTRICO DE USO AUTOMOTRIZ|143.00000|158|143|8.00|1.000|6|0.09500|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|90329002|103|99|SENSOR PARA UNIDAD DE CONTROL|107.00000|118|107|6.00|1.000|6|0.00900|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|5104840|071|73209099|52|99|RESORTE|5005.00000|5061|5005|278.40|1.000|6|0.06400|1||0|1||||DEU|USA| | | | |1|F2|2026-01-14 15:39:02|
3949|5104841|071|84313999|27|00|RODILLO|19215.50000|38857|38431|2137.52|2.000|6|0.20600|1||0|1||||USA|USA| | | | |1|F2|2026-01-09 13:40:01|
1669|6900631|430|87082201|432|00|MONTAJE PARA VENTANA|883.33333|3284|2650|147.85|3.000|6|3.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
1669|6900410|510|87034099|2|00|VEHICULOS AUTOMOVILES EQUIPADOS PARA LA PROPULSION CON MOTOR DE EMBOLO (PISTON) ALTERNATIVO, DE ENCENDIDO POR CHISPA Y CON MOTOR ELECTRICO|430262.14831|203189074|191466656|10515235.00|445.000|6|445.00000|6||1|1||FORD|TERRITORY|CHN|USA| | | | |1|A1|2026-01-15 15:58:03|
3147|6001012|650|90329002|98|99|SENSOR PARA UNIDAD DE CONTROL|89.00000|98|89|5.00|1.000|6|0.02900|1||1|6||||ESP|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|6020001|670|84133003|743|00|UNIDAD EMISORA Y BOMBA,|1669.00000|1804|1669|92.87|1.000|6|1.00000|6||1|1||||HUN|GBR| | | | |1|F3|2026-01-13 15:53:00|
1680|5092159|240|84849099|1|99|JUEGO SURTIDO DE EMPAQUES|53820.25000|1076405|1076405|59620.40|20.000|12|8.00000|1||0|1||SEALING SET ATLAS COPCO|80319000092|DEU|USA| | | | |1|F2|2026-01-09 11:55:11|
1680|6011233|240|87032499|2|00|VEHICULOS AUTOMOVILES, LINCOLN NAVIGATOR, MODELO 2026, MOTOR DE GASOLINA 3,500 CM3|1716854.50000|3475585|3433709|191747.00|2.000|6|2.00000|6||1|1||LINCOLN|NAVIGATOR 2026|USA|USA| | | | |1|A1|2026-01-14 18:07:07|
3147|6001012|650|87082999|11|99|REVESTIMIENTO PARA PISO|89.00000|98|89|5.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|87084099|65|99|PARTE PARA CAJA DE VELOCIDADES|107.00000|118|107|6.00|1.000|6|1.00000|6||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
1680|6002464|800|76069299|1|00|CHAPA DE ALUMINIO ALEADO|110.10462|16107866|16107866|915271.67|146296.000|1|146296.00000|1||0|1||||USA|USA| | | | |1|F3|2026-01-21 15:15:03|
1680|6002482|800|76069299|1|00|CHAPA DE ALUMINIO ALEADO|111.46662|13303318|13303318|746676.88|119348.000|1|119348.00000|1||0|1||||USA|USA| | | | |1|F3|2026-01-16 09:57:00|
3147|6001012|650|39269099|306|99|MANGA DE PLASTICO|89.08108|3632|3296|185.00|37.000|6|8.95400|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|6000016|670|40169304|2|01|SELLO INYECTOR|88.00000|194|176|10.00|2.000|6|0.05200|1||1|6||||USA|USA| | | | |1|F3|2026-01-22 11:38:01|
